 ,Area,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
63,0.095,1.107,21.027,64.570,0.372,0.372,0.354,0.342,45.002,0.976,0.416,226,694,116.565,0.372,1.035,0.966,0.846
64,0.017,0.526,10.141,64.849,0.186,0.186,0.241,0.091,45.000,0.785,0.263,109,699,45.000,0.132,2.646,0.378,0.667
65,0.156,1.425,39.821,64.849,0.465,0.465,0.475,0.418,149.089,0.965,0.543,428,697,120.964,0.461,1.137,0.879,0.878
66,0.156,1.348,16.561,0.279,0.372,0.465,0.491,0.404,90.000,1.000,0.543,179,3,120.964,0.372,1.218,0.821,0.947
67,0.381,2.137,9.862,2.047,0.744,0.651,0.736,0.659,0.000,1.000,0.795,106,24,159.444,0.651,1.118,0.894,0.917
68,0.589,2.772,16.654,3.163,0.837,0.930,0.906,0.827,100.284,0.962,0.971,182,34,106.699,0.837,1.096,0.912,0.907
69,0.069,0.844,70.990,5.024,0.279,0.279,0.329,0.268,45.000,1.000,0.395,763,57,45.000,0.279,1.229,0.814,0.941
70,2.285,6.190,91.830,6.513,2.326,1.396,2.336,1.246,13.008,0.750,2.442,987,81,17.745,1.365,1.875,0.533,0.907
71,1.861,5.073,73.502,6.606,1.768,1.396,1.870,1.267,23.005,0.909,1.918,790,83,22.834,1.324,1.476,0.678,0.935
72,0.234,1.633,66.058,6.978,0.558,0.558,0.561,0.530,146.477,1.000,0.624,712,75,116.565,0.558,1.059,0.945,0.885
73,0.069,0.921,10.886,8.374,0.372,0.279,0.325,0.272,0.000,1.000,0.384,117,91,165.964,0.279,1.195,0.837,0.800
74,1.480,4.515,47.357,10.514,1.396,1.489,1.667,1.131,51.634,0.913,1.731,511,129,53.746,1.184,1.474,0.679,0.924
75,0.208,1.611,47.636,13.026,0.558,0.465,0.534,0.496,0.000,1.000,0.596,513,140,128.660,0.465,1.076,0.929,0.889
76,0.563,3.068,32.471,14.607,1.210,0.651,1.294,0.554,12.888,0.751,1.296,349,163,21.038,0.605,2.338,0.428,0.878
77,0.355,2.115,71.083,15.910,0.651,0.651,0.706,0.640,33.206,0.997,0.800,764,177,35.538,0.651,1.102,0.908,0.921
78,1.619,4.624,22.795,18.329,1.489,1.396,1.523,1.354,21.972,0.951,1.601,246,210,35.538,1.396,1.125,0.889,0.933
79,1.506,4.601,70.990,18.608,1.582,1.210,1.603,1.196,12.438,0.894,1.657,766,213,38.157,1.210,1.340,0.746,0.941
80,0.390,2.750,94.436,18.608,0.558,1.023,0.944,0.526,98.318,0.647,1.061,1016,200,105.255,0.558,1.795,0.557,0.826
81,0.762,3.145,62.244,19.538,1.023,0.930,1.054,0.920,0.623,0.968,1.124,669,212,155.556,0.930,1.145,0.873,0.926
82,0.320,2.060,11.072,20.469,0.651,0.651,0.668,0.611,58.386,0.948,0.750,120,227,60.255,0.651,1.094,0.914,0.881
83,0.883,3.725,6.978,22.981,1.116,1.210,1.202,0.936,51.534,0.799,1.374,77,260,61.699,1.053,1.284,0.779,0.895
84,0.970,3.616,58.150,23.632,1.303,1.023,1.256,0.983,16.201,0.932,1.332,625,262,24.775,1.023,1.278,0.782,0.907
85,0.433,2.301,49.218,24.470,0.744,0.651,0.799,0.690,15.247,1.000,0.878,529,269,32.005,0.651,1.158,0.864,0.952
86,1.610,4.865,89.318,25.121,1.768,1.210,1.799,1.139,9.811,0.855,1.828,960,278,14.744,1.186,1.580,0.633,0.919
87,1.852,5.128,79.549,25.400,1.768,1.396,1.833,1.287,24.133,0.885,1.936,856,287,35.218,1.373,1.425,0.702,0.932
88,0.641,2.904,68.757,26.423,1.023,0.837,1.013,0.805,11.835,0.954,1.089,739,290,19.983,0.837,1.259,0.794,0.908
89,2.735,7.592,69.687,26.516,2.512,2.047,2.407,1.447,21.945,0.596,2.793,749,300,29.982,1.772,1.663,0.601,0.801
90,0.693,3.199,62.523,26.982,1.116,0.837,1.216,0.725,24.416,0.850,1.293,672,298,30.256,0.791,1.677,0.596,0.909
91,0.260,1.742,91.551,27.261,0.558,0.558,0.590,0.560,0.000,1.000,0.671,984,294,146.310,0.558,1.054,0.949,0.909
92,0.476,2.400,13.119,27.726,0.837,0.744,0.848,0.715,13.515,1.000,0.916,141,304,23.962,0.744,1.187,0.843,0.909
93,2.095,6.103,89.504,29.773,2.140,1.675,2.423,1.101,29.632,0.707,2.348,963,336,33.690,1.154,2.202,0.454,0.883
94,0.069,0.844,57.127,30.796,0.279,0.279,0.329,0.268,135.000,1.000,0.395,614,331,135.000,0.279,1.229,0.814,0.941
95,1.558,5.051,58.801,32.471,1.768,1.303,1.903,1.043,26.841,0.768,1.963,633,361,31.430,1.201,1.825,0.548,0.893
96,0.511,2.641,16.003,35.355,0.930,0.744,0.930,0.699,0.366,0.920,0.971,172,383,163.301,0.744,1.331,0.751,0.881
97,1.541,5.468,18.515,36.100,2.140,1.303,2.285,0.858,22.516,0.648,2.372,199,400,25.560,1.001,2.662,0.376,0.860
98,0.753,3.244,46.799,38.426,1.116,1.023,1.243,0.771,33.247,0.899,1.293,503,423,30.256,0.846,1.613,0.620,0.892
99,3.289,8.086,71.548,39.728,2.791,1.954,2.773,1.511,9.387,0.632,2.920,770,445,22.479,1.912,1.835,0.545,0.824
100,1.160,4.175,61.499,43.543,1.489,1.116,1.595,0.926,24.161,0.836,1.677,661,479,33.690,1.030,1.723,0.580,0.908
101,1.316,4.152,34.518,44.101,1.303,1.210,1.414,1.184,32.660,0.959,1.526,371,485,37.569,1.210,1.194,0.837,0.953
102,0.606,2.959,51.451,44.380,1.116,0.744,1.117,0.691,12.989,0.870,1.177,553,483,18.435,0.744,1.616,0.619,0.897
103,1.827,5.019,52.195,52.195,1.768,1.396,1.790,1.300,31.488,0.911,1.918,561,572,22.834,1.382,1.377,0.726,0.936
104,1.065,3.857,6.327,52.754,1.396,1.023,1.400,0.969,11.446,0.899,1.444,68,574,14.931,1.022,1.445,0.692,0.908
105,0.043,0.789,51.079,52.847,0.279,0.279,0.235,0.235,0.000,0.873,0.294,550,568,108.435,0.263,1.000,1.000,0.714
106,0.450,2.378,38.891,54.056,0.837,0.651,0.866,0.662,11.027,1.000,0.916,418,587,23.962,0.651,1.308,0.765,0.929
107,0.277,1.851,79.735,55.452,0.558,0.558,0.631,0.559,38.218,1.000,0.727,857,602,50.194,0.558,1.128,0.886,0.941
108,1.255,4.383,81.224,57.406,1.396,1.396,1.707,0.936,45.687,0.821,1.778,874,632,47.121,1.039,1.823,0.549,0.887
109,0.225,1.611,69.780,58.987,0.558,0.465,0.582,0.492,0.000,1.000,0.624,750,635,153.435,0.465,1.184,0.845,0.929
110,0.779,3.199,6.885,59.825,1.116,0.837,1.159,0.856,6.928,0.957,1.210,74,650,22.620,0.837,1.355,0.738,0.938
111,1.956,5.205,57.220,60.848,1.768,1.489,1.711,1.456,12.124,0.908,1.790,615,664,8.973,1.489,1.175,0.851,0.924
112,0.234,1.665,50.800,62.988,0.558,0.465,0.600,0.496,12.492,1.000,0.671,546,681,33.690,0.465,1.210,0.826,0.947
113,0.069,0.921,2.419,63.360,0.372,0.279,0.325,0.272,0.000,1.000,0.384,26,682,165.964,0.279,1.195,0.837,0.800
114,0.242,1.742,52.940,64.756,0.558,0.558,0.608,0.507,45.001,1.000,0.671,570,702,56.310,0.558,1.199,0.834,0.889
115,2.138,5.740,62.244,2.047,1.954,1.489,2.083,1.307,24.424,0.815,2.196,670,37,36.384,1.399,1.593,0.628,0.918
116,0.026,0.526,93.226,2.791,0.186,0.186,0.220,0.150,45.000,1.000,0.263,1002,32,45.000,0.186,1.464,0.683,0.857
117,1.238,5.336,70.431,3.629,1.675,1.582,2.121,0.743,37.320,0.546,2.241,757,56,41.634,0.945,2.853,0.350,0.775
118,1.030,4.175,36.937,3.722,1.396,1.210,1.463,0.897,29.479,0.743,1.548,397,50,32.735,1.040,1.631,0.613,0.856
119,0.286,1.929,42.705,5.862,0.558,0.651,0.639,0.569,102.910,0.965,0.727,460,63,129.806,0.558,1.123,0.890,0.892
120,0.104,1.107,21.585,6.606,0.372,0.372,0.467,0.283,45.000,1.000,0.526,232,75,45.000,0.329,1.651,0.606,0.889
121,0.277,1.951,84.759,7.908,0.744,0.558,0.751,0.470,18.341,0.914,0.795,911,90,20.556,0.530,1.598,0.626,0.853
122,0.017,0.395,33.494,8.374,0.186,0.093,0.210,0.105,0.000,1.000,0.208,360,90,153.435,0.093,2.000,0.500,1.000
123,1.177,4.383,22.516,12.653,1.303,1.489,1.670,0.897,56.811,0.770,1.755,245,152,57.995,1.021,1.861,0.537,0.877
124,0.260,1.951,19.352,12.840,0.651,0.558,0.717,0.461,36.518,0.857,0.800,208,143,35.538,0.526,1.554,0.643,0.870
125,0.390,2.323,76.944,13.584,0.837,0.651,0.819,0.605,10.931,0.907,0.883,827,151,18.435,0.651,1.353,0.739,0.874
126,2.865,7.233,68.570,14.514,2.326,2.326,2.874,1.269,48.255,0.688,2.907,739,181,50.194,1.513,2.264,0.442,0.872
127,0.286,2.137,84.294,14.607,0.744,0.651,0.830,0.438,34.973,0.786,0.930,906,164,36.870,0.516,1.893,0.528,0.857
128,0.208,1.633,29.215,15.445,0.558,0.558,0.631,0.419,39.690,0.978,0.671,315,172,56.310,0.461,1.505,0.664,0.857
129,0.242,1.742,37.588,16.468,0.465,0.651,0.686,0.450,67.226,1.000,0.750,404,184,60.255,0.465,1.524,0.656,0.918
130,0.571,2.850,64.384,19.724,0.930,0.930,1.037,0.702,43.691,0.884,1.120,693,222,41.634,0.789,1.477,0.677,0.874
131,0.416,2.641,41.961,20.004,1.023,0.651,1.067,0.496,18.881,0.749,1.089,451,221,19.983,0.602,2.153,0.464,0.814
132,0.632,3.036,43.822,20.748,1.116,0.837,1.214,0.663,33.797,0.862,1.293,471,231,30.256,0.724,1.830,0.546,0.912
133,1.013,3.934,38.798,21.120,1.210,1.303,1.384,0.932,53.773,0.822,1.453,418,240,50.194,1.089,1.486,0.673,0.867
134,0.770,4.197,19.352,21.492,1.303,1.303,1.741,0.564,44.291,0.550,1.716,208,244,40.601,0.719,3.089,0.324,0.757
135,0.476,2.564,60.848,21.678,0.744,0.837,0.883,0.687,118.144,0.910,0.989,655,234,131.186,0.744,1.286,0.778,0.902
136,0.303,2.006,53.963,21.957,0.744,0.558,0.772,0.500,28.844,0.947,0.832,580,241,26.565,0.558,1.544,0.648,0.886
137,0.242,1.797,28.377,23.074,0.651,0.465,0.702,0.440,28.150,0.943,0.800,305,253,35.538,0.465,1.596,0.627,0.918
138,0.113,1.107,66.338,24.656,0.372,0.372,0.408,0.352,135.000,1.000,0.465,714,265,126.870,0.372,1.159,0.863,0.897
139,0.190,1.633,89.039,26.796,0.558,0.558,0.614,0.395,41.360,0.897,0.671,957,293,33.690,0.461,1.555,0.643,0.815
140,0.320,2.006,19.631,28.191,0.651,0.651,0.695,0.587,57.393,1.000,0.750,211,308,29.745,0.624,1.185,0.844,0.892
141,0.208,1.611,58.243,29.587,0.558,0.465,0.611,0.433,23.286,1.000,0.671,626,322,33.690,0.465,1.409,0.710,0.906
142,0.035,0.658,63.453,29.587,0.279,0.186,0.254,0.173,0.000,1.000,0.294,682,319,161.565,0.186,1.468,0.681,0.800
143,0.225,1.820,23.911,31.168,0.651,0.558,0.713,0.402,40.985,0.854,0.789,258,341,45.000,0.461,1.772,0.564,0.839
144,0.545,2.827,74.339,31.261,1.023,0.744,0.930,0.747,176.350,0.858,1.040,799,338,169.695,0.744,1.245,0.803,0.875
145,0.364,2.641,53.870,32.843,0.558,1.023,0.997,0.464,76.429,0.655,1.061,581,364,74.745,0.553,2.148,0.465,0.832
146,0.398,2.323,86.155,32.843,0.837,0.651,0.836,0.606,22.341,0.927,0.883,926,357,18.435,0.651,1.379,0.725,0.893
147,0.061,0.789,72.571,35.913,0.279,0.279,0.351,0.220,45.000,1.000,0.395,780,389,45.000,0.263,1.596,0.626,0.875
148,0.623,2.981,0.930,36.565,0.930,1.023,0.999,0.794,55.605,0.881,1.124,12,404,65.556,0.855,1.259,0.794,0.873
149,0.580,2.772,19.259,36.751,0.930,0.837,0.915,0.807,39.500,0.948,1.053,209,404,45.000,0.837,1.135,0.881,0.905
150,0.762,3.353,62.430,36.937,0.930,1.210,1.177,0.824,81.322,0.851,1.265,674,410,72.897,0.912,1.428,0.700,0.880
151,0.364,2.137,2.419,37.774,0.651,0.744,0.779,0.594,60.788,1.000,0.858,26,414,40.601,0.651,1.310,0.763,0.903
152,0.718,3.462,86.992,39.356,1.303,0.837,1.425,0.642,21.649,0.753,1.456,935,431,26.565,0.719,2.221,0.450,0.878
153,0.329,2.269,32.750,39.542,0.651,0.837,0.949,0.441,57.797,0.803,1.006,353,434,56.310,0.526,2.151,0.465,0.864
154,1.350,6.126,52.847,39.728,1.675,1.768,2.054,0.837,49.343,0.452,2.091,573,446,57.724,1.053,2.454,0.408,0.770
155,1.151,3.989,74.060,40.286,1.303,1.210,1.429,1.026,39.175,0.909,1.548,796,445,32.735,1.116,1.393,0.718,0.914
156,0.467,2.455,91.086,40.286,0.744,0.837,0.894,0.666,60.057,0.975,0.958,980,442,60.945,0.724,1.343,0.744,0.915
157,0.675,3.244,92.761,41.031,1.116,1.023,1.315,0.654,46.247,0.806,1.383,998,452,42.274,0.724,2.012,0.497,0.872
158,0.701,3.276,30.703,41.124,1.210,0.837,1.316,0.678,21.314,0.821,1.332,330,450,24.775,0.736,1.941,0.515,0.885
159,0.095,1.030,81.875,41.124,0.372,0.279,0.408,0.297,15.071,1.000,0.465,880,445,36.870,0.279,1.372,0.729,0.957
160,1.056,3.803,79.735,43.729,1.210,1.210,1.231,1.092,33.217,0.918,1.342,857,479,33.690,1.165,1.127,0.887,0.900
161,0.615,2.959,78.061,44.008,0.930,0.930,1.008,0.776,55.340,0.882,1.120,840,482,41.634,0.824,1.299,0.770,0.877
162,0.398,2.323,48.474,45.031,0.744,0.744,0.881,0.575,41.652,0.927,0.930,521,491,36.870,0.658,1.532,0.653,0.893
163,0.537,2.827,54.428,46.985,1.023,0.744,1.100,0.621,19.419,0.844,1.124,585,512,24.444,0.677,1.772,0.564,0.886
164,0.935,3.857,87.365,47.543,1.303,1.116,1.359,0.876,37.210,0.790,1.500,939,520,29.745,0.987,1.551,0.645,0.867
165,1.593,5.709,65.221,48.195,1.768,1.303,1.745,1.162,22.246,0.614,2.066,702,532,35.838,1.301,1.502,0.666,0.856
166,0.701,3.276,52.661,48.474,1.303,0.744,1.326,0.673,175.600,0.821,1.355,566,523,164.055,0.744,1.969,0.508,0.880
167,0.883,3.725,42.240,48.846,1.303,0.930,1.297,0.867,1.922,0.799,1.383,454,527,160.346,0.895,1.497,0.668,0.868
168,0.104,1.184,50.707,50.428,0.465,0.372,0.446,0.297,36.650,0.931,0.501,545,545,21.801,0.329,1.504,0.665,0.800
169,0.796,3.934,35.262,50.986,1.210,1.303,1.602,0.633,51.452,0.647,1.601,380,562,54.462,0.789,2.531,0.395,0.783
170,1.428,4.647,49.962,51.451,1.396,1.489,1.641,1.108,127.618,0.831,1.731,539,553,126.254,1.213,1.482,0.675,0.882
171,0.554,3.857,87.365,52.847,1.396,0.837,1.418,0.498,18.375,0.468,1.444,939,576,14.931,0.674,2.849,0.351,0.696
172,0.995,3.880,74.153,57.034,1.303,1.210,1.546,0.820,40.449,0.831,1.548,797,624,32.735,0.917,1.885,0.530,0.878
173,1.714,5.786,15.166,57.313,2.047,1.489,2.203,0.991,37.334,0.643,2.348,163,631,33.690,1.184,2.224,0.450,0.855
174,0.667,2.959,71.548,58.429,1.023,0.837,0.987,0.860,3.301,0.957,1.061,769,634,15.255,0.837,1.148,0.871,0.917
175,0.987,3.780,62.895,58.708,1.303,1.023,1.354,0.928,160.397,0.868,1.420,677,632,148.392,0.994,1.460,0.685,0.884
176,1.446,4.624,59.266,59.266,1.210,1.675,1.798,1.024,65.199,0.850,1.835,639,655,59.534,1.118,1.755,0.570,0.920
177,0.329,2.137,42.984,60.290,0.744,0.651,0.685,0.612,52.045,0.905,0.767,462,653,14.036,0.651,1.119,0.894,0.854
178,0.208,1.611,6.792,60.569,0.465,0.558,0.596,0.444,56.776,1.000,0.671,74,657,56.310,0.465,1.341,0.746,0.906
179,0.796,3.485,41.775,60.848,1.023,1.116,1.161,0.873,129.242,0.824,1.265,449,656,143.973,0.973,1.329,0.752,0.876
180,0.355,2.586,31.261,62.709,0.837,0.837,1.138,0.397,135.312,0.667,1.184,336,674,135.000,0.524,2.865,0.349,0.788
181,0.113,1.162,72.385,62.709,0.279,0.465,0.482,0.297,90.000,1.000,0.501,778,674,111.801,0.279,1.622,0.617,0.929
182,0.216,1.611,71.641,63.267,0.558,0.465,0.562,0.490,10.870,1.000,0.624,770,684,26.565,0.465,1.147,0.872,0.909
183,1.134,4.569,16.282,64.105,1.303,1.489,1.496,0.965,57.384,0.682,1.625,180,705,66.371,1.133,1.550,0.645,0.804
184,0.009,0.263,66.803,0.651,0.093,0.093,0.105,0.105,0.000,1.000,0.132,718,7,135.000,0.093,1.000,1.000,1.000
185,2.026,5.731,67.175,0.744,1.768,1.768,1.887,1.367,53.147,0.775,1.956,727,27,64.654,1.519,1.381,0.724,0.860
186,1.454,4.756,26.330,1.675,1.396,1.489,1.647,1.124,47.647,0.808,1.807,285,34,55.491,1.187,1.466,0.682,0.903
187,1.212,4.175,91.924,1.954,1.303,1.303,1.534,1.006,51.696,0.874,1.601,988,33,35.538,1.069,1.525,0.656,0.918
188,1.151,4.120,86.155,4.280,1.116,1.396,1.404,1.044,65.054,0.852,1.503,929,61,68.199,1.116,1.345,0.743,0.908
189,4.623,9.434,68.105,7.257,2.512,2.419,2.481,2.372,44.361,0.653,2.979,732,102,38.660,2.419,1.046,0.956,0.848
190,2.709,6.552,6.978,8.374,1.954,2.140,2.572,1.341,47.885,0.793,2.661,76,113,53.531,1.447,1.917,0.522,0.921
191,1.039,3.694,60.290,9.397,1.303,1.116,1.239,1.068,175.726,0.957,1.332,648,105,167.905,1.116,1.160,0.862,0.916
192,7.903,14.045,80.387,9.676,4.001,3.722,4.628,2.174,39.592,0.503,5.002,865,142,43.493,2.990,2.129,0.470,0.763
193,0.156,1.425,90.528,9.955,0.465,0.465,0.462,0.429,45.000,0.965,0.543,973,112,30.964,0.465,1.076,0.930,0.857
194,0.831,3.748,43.915,11.630,1.303,1.116,1.551,0.682,39.762,0.743,1.601,472,136,35.538,0.789,2.273,0.440,0.838
195,0.190,1.556,81.503,13.584,0.558,0.465,0.556,0.436,27.407,0.988,0.624,876,150,26.565,0.465,1.276,0.784,0.863
196,1.117,4.021,72.943,13.956,1.303,1.116,1.393,1.021,178.759,0.868,1.500,784,161,29.745,1.079,1.364,0.733,0.902
197,0.009,0.263,8.653,15.072,0.093,0.093,0.105,0.105,0.000,1.000,0.132,93,162,135.000,0.093,1.000,1.000,1.000
198,4.172,8.930,43.357,15.352,2.326,2.326,2.508,2.118,40.383,0.657,2.922,471,190,52.765,2.269,1.184,0.844,0.889
199,0.052,0.789,74.339,15.817,0.279,0.279,0.346,0.191,53.130,1.000,0.395,799,173,45.000,0.250,1.809,0.553,0.800
200,0.078,0.976,67.640,16.654,0.372,0.279,0.390,0.254,6.047,1.000,0.416,727,180,153.435,0.279,1.536,0.651,0.857
201,0.788,3.430,89.132,16.654,1.210,1.023,1.318,0.761,27.869,0.841,1.374,958,188,28.301,0.853,1.733,0.577,0.875
202,2.692,6.639,84.759,16.747,1.954,1.861,1.963,1.746,31.172,0.768,2.326,912,200,53.130,1.805,1.124,0.889,0.890
203,1.125,3.912,27.354,16.840,1.210,1.210,1.225,1.170,167.249,0.924,1.374,294,184,151.699,1.206,1.047,0.956,0.925
204,0.225,1.742,43.450,18.143,0.651,0.465,0.676,0.424,9.004,0.932,0.750,467,200,29.745,0.465,1.595,0.627,0.867
205,0.199,1.688,53.219,18.143,0.558,0.558,0.612,0.414,43.313,0.878,0.671,574,201,56.310,0.461,1.476,0.678,0.852
206,0.753,3.453,25.958,18.701,1.116,1.210,1.275,0.752,49.919,0.794,1.332,282,214,65.225,0.789,1.695,0.590,0.845
207,0.026,0.526,25.958,20.004,0.186,0.186,0.220,0.150,45.000,1.000,0.263,279,217,45.000,0.186,1.464,0.683,0.857
208,1.575,5.019,29.308,21.120,1.582,1.582,1.872,1.071,45.102,0.786,1.978,317,243,48.814,1.184,1.748,0.572,0.897
209,0.355,2.137,34.425,21.213,0.744,0.651,0.784,0.576,27.683,0.976,0.878,370,235,32.005,0.651,1.362,0.734,0.891
210,1.195,4.460,90.714,21.864,1.396,1.489,1.642,0.926,47.991,0.755,1.711,977,249,45.000,1.116,1.772,0.564,0.829
211,0.364,2.269,46.427,22.702,0.744,0.651,0.771,0.601,21.526,0.888,0.832,499,250,26.565,0.651,1.283,0.779,0.875
212,1.844,5.413,3.256,23.260,1.768,1.675,2.021,1.162,40.205,0.791,2.066,38,268,54.162,1.316,1.739,0.575,0.875
213,0.182,1.479,36.286,23.539,0.465,0.465,0.569,0.407,45.000,1.000,0.658,390,258,45.000,0.461,1.400,0.714,0.933
214,2.883,7.737,29.308,25.679,2.698,2.047,2.723,1.348,24.137,0.605,2.920,316,298,30.651,1.482,2.020,0.495,0.836
215,0.433,2.432,72.292,26.051,0.744,0.744,0.864,0.638,35.970,0.919,0.989,777,288,41.186,0.706,1.355,0.738,0.901
216,0.407,2.301,86.341,26.796,0.651,0.744,0.775,0.669,65.973,0.966,0.878,928,296,57.995,0.651,1.158,0.863,0.931
217,0.095,1.030,63.732,27.633,0.372,0.279,0.408,0.297,15.071,1.000,0.465,685,300,36.870,0.279,1.372,0.729,0.957
218,0.900,3.562,7.536,28.377,1.303,1.023,1.285,0.892,27.387,0.892,1.417,81,314,23.199,0.987,1.441,0.694,0.900
219,1.143,4.098,46.241,29.215,1.489,1.023,1.526,0.954,11.401,0.855,1.560,497,321,17.354,1.013,1.600,0.625,0.917
220,1.073,3.780,3.256,29.680,1.210,1.116,1.309,1.044,36.857,0.944,1.396,37,331,53.130,1.116,1.253,0.798,0.947
221,0.164,1.425,6.141,31.261,0.465,0.465,0.493,0.425,14.789,1.000,0.543,66,337,149.036,0.465,1.159,0.863,0.864
222,1.117,3.857,44.287,31.913,1.303,1.116,1.289,1.103,29.162,0.943,1.396,477,354,36.870,1.116,1.169,0.855,0.921
223,0.303,1.951,80.294,32.099,0.651,0.651,0.698,0.553,35.991,1.000,0.750,863,351,29.745,0.592,1.263,0.792,0.886
224,1.169,4.120,64.570,33.680,1.303,1.303,1.452,1.025,45.898,0.865,1.548,696,376,57.265,1.118,1.416,0.706,0.906
225,0.918,3.671,62.523,33.774,1.210,1.116,1.438,0.812,42.282,0.856,1.515,673,375,47.490,0.855,1.771,0.565,0.918
226,4.320,9.742,41.310,36.006,2.698,2.605,2.599,2.116,51.424,0.572,3.230,449,414,48.504,2.368,1.229,0.814,0.823
227,0.744,3.190,60.383,38.984,1.116,1.023,1.011,0.937,22.726,0.919,1.132,649,425,9.462,0.987,1.078,0.927,0.873
228,1.619,4.887,38.984,41.589,1.489,1.582,1.488,1.385,125.646,0.852,1.677,422,447,109.440,1.489,1.074,0.931,0.901
229,2.588,6.707,52.475,41.868,2.140,2.047,2.499,1.319,40.137,0.723,2.573,566,470,40.601,1.523,1.895,0.528,0.874
230,0.035,0.976,91.551,44.659,0.279,0.279,0.259,0.170,145.278,0.457,0.335,984,480,123.690,0.250,1.517,0.659,0.571
231,0.978,3.671,76.851,45.590,1.210,1.116,1.289,0.966,43.901,0.912,1.383,828,502,47.726,1.053,1.334,0.749,0.904
232,0.450,2.455,38.332,46.520,0.837,0.744,0.866,0.662,40.027,0.939,0.930,412,506,36.870,0.724,1.309,0.764,0.889
233,0.424,2.378,48.567,47.730,0.837,0.651,0.819,0.659,13.558,0.943,0.916,522,518,23.962,0.651,1.242,0.805,0.899
234,1.056,3.694,49.125,50.149,1.210,1.210,1.281,1.050,49.380,0.973,1.342,531,552,56.310,1.053,1.220,0.819,0.924
235,0.242,1.720,87.365,50.242,0.558,0.465,0.625,0.494,20.505,1.000,0.727,939,545,39.806,0.465,1.266,0.790,0.966
236,0.095,1.030,15.910,50.428,0.372,0.279,0.408,0.297,15.071,1.000,0.465,171,545,36.870,0.279,1.372,0.729,0.957
237,0.857,4.165,39.728,50.893,1.396,1.396,1.795,0.608,43.777,0.621,1.847,427,562,40.914,0.724,2.952,0.339,0.815
238,0.346,2.115,86.899,50.893,0.651,0.651,0.743,0.593,44.094,0.973,0.858,935,554,49.399,0.651,1.252,0.799,0.920
239,0.528,2.532,63.267,54.801,0.837,0.837,0.888,0.757,36.504,1.000,0.958,680,596,29.055,0.789,1.172,0.853,0.910
240,0.753,3.167,5.396,55.452,1.023,1.023,1.044,0.919,51.485,0.943,1.136,59,606,34.992,0.987,1.136,0.880,0.897
241,0.718,3.090,52.940,55.917,1.023,0.930,1.048,0.873,39.804,0.946,1.136,571,611,55.008,0.921,1.200,0.833,0.912
242,0.978,3.594,17.585,56.289,1.116,1.116,1.170,1.065,39.354,0.952,1.293,189,614,30.256,1.116,1.098,0.910,0.919
243,0.035,0.658,40.845,59.732,0.279,0.186,0.299,0.147,31.717,1.000,0.335,439,644,33.690,0.186,2.031,0.492,0.800
244,0.589,2.850,6.792,60.383,0.930,0.930,1.087,0.689,48.548,0.911,1.136,74,659,55.008,0.724,1.577,0.634,0.895
245,0.727,3.090,14.514,61.406,0.930,1.023,1.045,0.886,76.785,0.957,1.124,159,671,65.556,0.930,1.179,0.849,0.918
246,0.571,2.772,4.466,62.988,0.837,0.930,0.933,0.780,59.162,0.934,1.006,48,685,33.690,0.835,1.196,0.836,0.880
247,1.091,4.066,53.684,64.477,1.396,1.116,1.468,0.946,31.906,0.829,1.548,578,704,32.735,1.032,1.551,0.645,0.906
248,0.009,0.263,76.200,65.407,0.093,0.093,0.105,0.105,0.000,1.000,0.132,819,703,135.000,0.093,1.000,1.000,1.000
249,1.731,5.391,11.444,4.001,1.582,1.768,1.922,1.147,55.709,0.749,2.091,127,62,57.724,1.331,1.676,0.597,0.873
250,1.298,4.361,26.144,5.582,1.210,1.489,1.524,1.085,70.870,0.858,1.628,284,76,59.036,1.198,1.405,0.712,0.888
251,0.528,2.618,12.281,7.443,0.744,0.837,0.878,0.766,72.247,0.968,0.958,134,89,60.945,0.744,1.146,0.873,0.931
252,0.242,1.765,68.477,10.234,0.651,0.558,0.569,0.543,130.269,0.978,0.677,736,112,164.055,0.558,1.048,0.954,0.848
253,0.554,2.641,53.498,10.327,0.837,0.837,0.944,0.748,41.973,0.998,1.006,575,119,33.690,0.789,1.262,0.792,0.928
254,0.537,2.827,68.105,11.537,1.023,0.744,1.144,0.598,25.040,0.844,1.213,732,132,32.471,0.666,1.914,0.522,0.899
255,0.087,0.976,6.327,13.305,0.372,0.279,0.413,0.267,26.565,1.000,0.465,68,146,36.870,0.279,1.551,0.645,0.909
256,0.788,3.331,14.700,13.584,0.930,1.116,1.157,0.867,108.921,0.892,1.248,159,146,116.565,0.930,1.335,0.749,0.905
257,1.117,4.011,74.339,14.514,1.303,1.303,1.547,0.919,43.798,0.872,1.601,799,168,35.538,0.987,1.683,0.594,0.905
258,3.835,8.218,89.784,17.864,2.791,2.140,2.647,1.845,26.153,0.714,2.914,965,214,16.699,1.906,1.435,0.697,0.900
259,0.883,3.562,2.791,18.143,1.116,1.210,1.279,0.879,51.883,0.875,1.322,31,206,39.289,0.977,1.454,0.688,0.879
260,0.649,2.959,74.618,18.329,1.023,0.837,0.969,0.853,32.592,0.932,1.061,803,205,37.875,0.837,1.137,0.880,0.904
