 ,Area,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
661,1.913,6.158,82.061,50.335,1.675,1.861,2.039,1.195,51.667,0.634,2.196,884,561,53.616,1.447,1.707,0.586,0.819
662,3.194,8.032,60.848,52.009,2.419,2.605,3.186,1.277,52.263,0.622,3.110,657,586,51.072,1.479,2.495,0.401,0.807
663,0.009,0.263,11.630,53.126,0.093,0.093,0.105,0.105,0.000,1.000,0.132,125,571,135.000,0.093,1.000,1.000,1.000
664,1.030,3.671,10.048,53.591,1.210,1.116,1.223,1.073,1.730,0.961,1.296,108,585,21.038,1.116,1.140,0.877,0.919
665,2.060,6.412,51.451,54.056,2.047,2.047,2.644,0.992,39.889,0.630,2.645,555,603,50.711,1.074,2.665,0.375,0.865
666,3.385,7.814,51.916,56.382,2.233,2.605,2.275,1.894,86.243,0.697,2.685,563,634,75.964,2.171,1.201,0.833,0.857
667,4.519,9.588,29.680,58.150,2.884,2.977,3.746,1.536,48.962,0.618,3.950,321,657,46.909,1.709,2.439,0.410,0.865
668,0.554,2.641,86.620,58.336,0.930,0.744,0.928,0.760,14.277,0.998,1.002,931,633,21.801,0.744,1.220,0.820,0.928
669,0.026,0.526,88.946,58.522,0.186,0.186,0.220,0.150,45.000,1.000,0.263,956,631,45.000,0.186,1.464,0.683,0.857
670,0.026,0.635,88.760,58.801,0.093,0.279,0.315,0.105,90.000,0.809,0.294,954,632,108.435,0.093,3.000,0.333,1.000
671,1.982,5.468,76.293,58.894,1.861,1.396,1.840,1.372,164.768,0.833,1.943,820,637,163.301,1.396,1.341,0.746,0.927
672,0.052,0.789,3.163,59.360,0.279,0.279,0.292,0.226,135.000,1.000,0.335,34,638,123.690,0.263,1.291,0.775,0.800
673,2.839,7.079,44.566,59.360,2.140,1.954,2.217,1.630,26.880,0.712,2.383,482,659,51.340,1.764,1.360,0.735,0.860
674,0.009,0.263,78.526,59.546,0.093,0.093,0.105,0.105,0.000,1.000,0.132,844,640,135.000,0.093,1.000,1.000,1.000
675,0.234,1.688,82.340,62.058,0.558,0.558,0.561,0.530,56.477,1.000,0.624,886,667,116.565,0.558,1.059,0.945,0.885
676,1.766,5.599,47.357,62.802,1.861,1.675,2.252,0.998,37.521,0.708,2.271,509,690,34.992,1.147,2.255,0.443,0.870
677,0.260,1.929,28.935,63.081,0.744,0.465,0.753,0.439,22.799,0.877,0.832,311,682,26.565,0.465,1.717,0.582,0.909
678,0.433,2.618,17.678,2.512,0.651,0.837,0.908,0.607,79.694,0.793,1.006,191,36,56.310,0.651,1.497,0.668,0.893
679,0.234,1.688,18.329,4.838,0.558,0.558,0.558,0.533,24.444,1.000,0.624,199,58,63.435,0.558,1.046,0.956,0.885
680,0.796,4.252,93.133,6.978,1.303,1.396,1.787,0.567,49.961,0.554,1.787,1002,90,51.340,0.727,3.149,0.318,0.736
681,0.113,1.162,73.502,8.001,0.372,0.372,0.396,0.362,149.036,1.000,0.465,791,86,126.870,0.372,1.093,0.915,0.897
682,0.113,1.162,37.495,10.141,0.465,0.279,0.499,0.287,14.872,1.000,0.543,403,112,30.964,0.279,1.735,0.576,0.929
683,0.589,3.671,38.705,11.444,1.116,1.210,1.338,0.560,47.849,0.549,1.584,416,136,49.764,0.724,2.390,0.418,0.768
684,0.355,2.115,11.165,12.188,0.651,0.651,0.704,0.642,63.841,0.997,0.800,121,138,54.462,0.651,1.097,0.911,0.921
685,0.571,3.090,4.559,13.119,0.744,1.210,1.207,0.602,78.124,0.752,1.265,50,154,72.897,0.686,2.004,0.499,0.841
686,0.104,1.162,79.270,15.445,0.372,0.372,0.401,0.330,34.722,0.967,0.465,852,170,36.870,0.372,1.218,0.821,0.889
687,0.242,1.742,22.237,15.724,0.558,0.558,0.633,0.488,48.667,1.000,0.727,239,175,50.194,0.526,1.297,0.771,0.903
688,0.693,3.299,29.773,15.910,1.116,1.023,1.132,0.779,147.069,0.800,1.213,321,173,147.529,0.921,1.453,0.688,0.847
689,0.121,1.348,53.963,16.747,0.279,0.558,0.560,0.276,73.826,0.838,0.624,580,186,63.435,0.279,2.030,0.493,0.903
690,0.104,1.348,86.434,16.933,0.279,0.558,0.530,0.250,75.749,0.719,0.588,929,188,71.565,0.279,2.122,0.471,0.828
691,0.537,2.695,74.711,17.771,0.744,0.930,0.930,0.735,77.377,0.928,1.006,803,201,56.310,0.744,1.264,0.791,0.905
692,0.199,1.611,20.469,18.050,0.651,0.372,0.662,0.383,10.882,0.964,0.709,220,197,23.199,0.372,1.726,0.579,0.920
693,1.021,4.043,74.990,18.887,1.582,0.930,1.514,0.859,13.614,0.785,1.649,806,209,16.390,0.930,1.763,0.567,0.901
694,0.026,0.526,3.536,19.259,0.186,0.186,0.220,0.150,45.000,1.000,0.263,38,209,45.000,0.186,1.464,0.683,0.857
695,0.052,0.789,17.678,20.841,0.279,0.279,0.292,0.226,45.000,1.000,0.335,190,227,56.310,0.263,1.291,0.775,0.800
